stage|lat|lon|ele|dist
stage-01|43.77194|11.34977|63.0|0.0
stage-01|43.77527|11.35828|73.0|0.7969902928304842
stage-01|43.78082|11.35902|68.0|1.4615588797972414
stage-01|43.78408|11.36645|67.0|2.3619676694074516
stage-01|43.78632|11.3754|81.0|3.142941085072057
stage-01|43.7863|11.37613|81.0|3.2233771602083583
stage-01|43.79008|11.38252|79.0|3.9055830608626576
stage-01|43.79248|11.38568|71.0|4.329657413190145
stage-01|43.79128|11.39217|75.0|4.930459488746803
stage-01|43.78641|11.39774|78.0|5.667998571805777
stage-01|43.78628|11.39808|79.0|5.723441531518678
stage-01|43.78098|11.40742|83.0|6.699786398555474
stage-01|43.77672|11.41492|83.0|7.479639353277416
stage-01|43.77414|11.41682|82.0|7.85103227217882
stage-01|43.7743|11.41786|82.0|7.959090702714596
stage-01|43.77708|11.41984|93.0|8.345165100359011
stage-01|43.77515|11.43255|94.0|9.400335797317746
stage-01|43.77556|11.44544|89.0|10.484266274813027
stage-01|43.77718|11.44646|95.0|10.703066351376652
stage-01|43.78526|11.45158|91.0|11.711799495927586
stage-01|43.78626|11.46049|97.0|12.45346350534497
stage-01|43.79231|11.46408|94.0|13.328714204436254
stage-01|43.79805|11.46279|98.0|14.044936066993191
stage-01|43.80567|11.47016|101.0|15.150029958749652
stage-01|43.81352|11.47979|105.0|16.321026387729773
stage-01|43.82664|11.48786|114.0|17.936201479107943
stage-01|43.82861|11.49545|122.0|18.604981509868065
stage-01|43.83708|11.49859|125.0|19.63494446893418
stage-01|43.84062|11.50052|141.0|20.117968862552306
stage-01|43.84847|11.50242|138.0|21.09668777001728
stage-01|43.84984|11.51323|144.0|22.034591765670676
stage-01|43.85486|11.51965|134.0|22.880438644801842
stage-01|43.85944|11.52822|126.0|23.775563681936625
stage-01|43.86482|11.53082|140.0|24.45408682343096
stage-01|43.86977|11.52995|149.0|25.02567589843633
stage-01|43.87555|11.52994|147.0|25.69862077851268
stage-01|43.87902|11.52963|155.0|26.12678670369449
stage-01|43.88186|11.5292|159.0|26.51522691864995
stage-01|43.88747|11.52551|154.0|27.224949867822055
stage-01|43.89239|11.52975|163.0|28.097739403831547
stage-01|43.89384|11.53655|172.0|28.705114795505608
stage-01|43.89598|11.54418|192.0|29.386792874920953
stage-01|43.89916|11.54858|196.0|29.930756448527767
stage-01|43.90501|11.55375|209.0|30.75283885018472
stage-01|43.90819|11.55688|216.0|31.206503872246504
stage-01|43.91047|11.55868|222.0|31.527423705303327
stage-01|43.91253|11.5615|236.0|31.891968379584263
stage-01|43.91621|11.56504|240.0|32.42505962189908
stage-01|43.92002|11.57066|247.0|33.08673781488258
stage-01|43.92497|11.57806|258.0|33.915093329440964
stage-01|43.9273|11.58314|269.0|34.41888530777509
stage-01|43.92667|11.58874|284.0|34.95740863759325
stage-01|43.92646|11.59182|292.0|35.231203884009915
stage-01|43.92607|11.59689|292.0|35.66182773224605
stage-01|43.92631|11.60091|309.0|36.08068211291545
stage-01|43.92695|11.60789|317.0|36.651478058597704
stage-01|43.92727|11.61088|322.0|36.95321474067394
stage-01|43.92642|11.6119|335.0|37.18470800587173
stage-01|43.92568|11.6132|335.0|37.44335950354525
stage-01|43.92504|11.61832|378.0|37.881842164260014
stage-01|43.92631|11.61817|392.0|38.17884734739066
stage-01|43.92941|11.62267|408.0|38.69398011679146
stage-01|43.92994|11.62096|425.0|38.9718050876263
stage-01|43.9314|11.62259|450.0|39.25865430538517
stage-01|43.93318|11.62388|475.0|39.568227844475146
stage-01|43.93545|11.62539|499.0|39.897336130827014
stage-01|43.93815|11.62425|524.0|40.259658741567314
stage-01|43.93749|11.62618|541.0|40.523903055879856
stage-01|43.93655|11.62918|568.0|40.80286224956488
stage-01|43.93597|11.63218|587.0|41.07645674562851
stage-01|43.93554|11.63452|610.0|41.346719046159954
stage-01|43.93466|11.63579|628.0|41.604286113553634
stage-01|43.93631|11.63709|651.0|41.89467285684391
stage-01|43.93503|11.63886|671.0|42.16432039610453
stage-01|43.93308|11.64014|695.0|42.48499921004657
stage-01|43.93195|11.63726|704.0|42.77168044679668
stage-01|43.93222|11.64079|716.0|43.080598287924396
stage-01|43.9318|11.64419|733.0|43.38694504137286
stage-01|43.9319|11.64669|730.0|43.7073662610555
stage-01|43.93161|11.64938|737.0|44.08755049390439
stage-01|43.9289|11.6521|768.0|44.561865615707354
stage-01|43.92927|11.65681|791.0|45.0261214265618
stage-01|43.92552|11.66146|826.0|45.63792276734919
stage-01|43.92601|11.66221|841.0|46.11962681966042
stage-01|43.9279|11.66558|872.0|46.56087818093801
stage-01|43.92678|11.6686|898.0|46.97365356850981
stage-01|43.92535|11.67274|922.0|47.42853132473468
stage-01|43.92531|11.67975|965.0|48.198601515111406
stage-01|43.92907|11.67863|980.0|48.68328383176585
stage-01|43.93008|11.67658|975.0|49.024589245991756
stage-01|43.93131|11.67791|954.0|49.28982604632212
stage-01|43.93133|11.68442|924.0|49.84592595388688
stage-01|43.93329|11.687|899.0|50.371697915873945
stage-01|43.93451|11.68743|882.0|50.78742607421401
stage-01|43.93402|11.69153|867.0|51.186359048468454
stage-01|43.93529|11.69338|860.0|51.587142810502364
stage-01|43.93533|11.69451|846.0|51.84925408823913
stage-01|43.93638|11.69726|831.0|52.1992620130287
stage-01|43.93762|11.69971|822.0|52.475689547437185
stage-01|43.94009|11.70259|799.0|52.876354314505726
stage-01|43.94235|11.70319|789.0|53.268628203533
stage-01|43.94338|11.70639|773.0|53.64934026262137
stage-01|43.94472|11.70969|769.0|54.08573462806553
stage-01|43.94414|11.71567|743.0|54.617533927972836
stage-01|43.94367|11.72211|719.0|55.22164253517239
stage-01|43.94549|11.72489|683.0|55.63298346998972
stage-01|43.94782|11.72168|658.0|56.065143500069375
stage-01|43.94815|11.72439|655.0|56.32786773299074
stage-01|43.94838|11.72751|644.0|56.60602543724603
stage-01|43.94944|11.72977|636.0|56.86600988860691
stage-01|43.95027|11.7317|611.0|57.12216169025577
stage-01|43.95056|11.73344|598.0|57.4434778005186
stage-01|43.95096|11.73662|585.0|57.71175636360693
stage-01|43.95163|11.74173|568.0|58.14382957704307
stage-01|43.95254|11.74463|562.0|58.43943403343076
stage-01|43.95304|11.74744|556.0|58.7422087321779
stage-01|43.95511|11.74788|555.0|58.98361523068569
stage-01|43.9567|11.74922|554.0|59.21770291768736
stage-01|43.95856|11.75028|557.0|59.45371943806243
stage-01|43.95922|11.75258|552.0|59.670636841151456
stage-01|43.96085|11.75382|542.0|59.898331166703564
stage-01|43.96234|11.75594|530.0|60.142737931844124
stage-01|43.96367|11.75838|524.0|60.39903921518716
stage-01|43.96554|11.75921|518.0|60.65015385300566
stage-01|43.96729|11.76016|515.0|60.87255767196589
stage-01|43.96931|11.76205|513.0|61.14839500427856
stage-01|43.97018|11.76462|502.0|61.39193443529294
stage-01|43.97159|11.7662|497.0|61.609467872760355
stage-01|43.97235|11.76603|503.0|61.76608080981258
stage-01|43.97406|11.76721|506.0|61.99682483479688
stage-01|43.97529|11.76948|500.0|62.23547383008587
stage-01|43.97547|11.772|487.0|62.459656912839364
stage-01|43.97536|11.77473|472.0|62.693403708491616
stage-01|43.97758|11.77519|464.0|62.95950100494044
stage-01|43.97851|11.77822|450.0|63.235278723286235
stage-01|43.98014|11.78106|446.0|63.54772367883219
stage-01|43.98038|11.78325|446.0|63.74948932062452
stage-01|43.98603|11.78621|428.0|64.43450891452522
stage-01|43.98738|11.79085|424.0|64.84849718073461
stage-01|43.98973|11.79325|425.0|65.18194507798856
stage-01|43.99164|11.79474|426.0|65.44761728523346
stage-01|43.99319|11.79742|428.0|65.74137612274585
stage-01|43.99427|11.80011|423.0|66.00672730815279
stage-01|43.99617|11.80303|405.0|66.33053251652653
stage-01|43.99843|11.8072|400.0|66.75711231126512
stage-01|44.0009|11.81134|402.0|67.2142519057985
stage-01|44.0028|11.81584|398.0|67.65950337336228
stage-01|44.00603|11.8205|378.0|68.20977149236809
stage-01|44.01007|11.8246|373.0|68.778584250947
stage-01|44.01458|11.83034|365.0|69.51603450685973
stage-01|44.01649|11.83802|344.0|70.226895626129
stage-01|44.0195|11.84617|323.0|71.04208539150831
stage-01|44.02067|11.85592|309.0|71.922782902896
stage-01|44.01951|11.86475|306.0|72.69568308196833
stage-01|44.02101|11.872|320.0|73.3173527402718
stage-01|44.0211|11.87691|294.0|73.73611045591278
stage-01|44.0196|11.88463|302.0|74.54013923657065
stage-01|44.0188|11.8876|336.0|74.91965946280041
stage-01|44.01938|11.89359|371.0|75.47276873621324
stage-01|44.01667|11.8965|410.0|75.96381545126317
stage-01|44.01449|11.89909|433.0|76.43021995759712
stage-01|44.01306|11.90094|444.0|76.92755087268385
stage-01|44.01089|11.9041|412.0|77.29963390608988
stage-01|44.01149|11.90521|397.0|77.5733381000722
stage-01|44.00787|11.90716|364.0|78.11947615413887
stage-01|44.00746|11.9079|339.0|78.43547674098072
stage-01|44.00526|11.9069|314.0|78.75894033836609
stage-01|44.0039|11.90902|275.0|79.29454092958231
stage-01|43.9978|11.91339|229.0|80.20357174493596
stage-01|43.98995|11.90689|252.0|81.37668165142604
stage-01|43.98688|11.90666|262.0|81.7267266708629
stage-01|43.98057|11.90398|277.0|82.48728801160289
stage-01|43.97077|11.90708|267.0|83.65355533914126
stage-01|43.96401|11.90908|268.0|84.4520212040369
stage-01|43.95847|11.91146|268.0|85.14581177218172
stage-01|43.95233|11.91011|277.0|85.85404402837823
stage-01|43.9473|11.90854|262.0|86.58781031147336
stage-01|43.9442|11.91269|277.0|87.1097237722988
stage-01|43.94128|11.92025|295.0|87.85999171567408
stage-01|43.94134|11.92723|334.0|88.63824071107199
stage-01|43.94108|11.92482|366.0|89.1795668556113
stage-01|43.93644|11.9276|415.0|89.80692343845203
stage-01|43.93313|11.93124|444.0|90.34322219348549
stage-01|43.93173|11.93836|460.0|91.03128098443989
stage-01|43.92537|11.94646|547.0|92.04751153075009
stage-01|43.92259|11.95305|598.0|92.75385863416132
stage-01|43.92418|11.9554|668.0|93.34516992861948
stage-01|43.92447|11.95864|728.0|93.90483453700509
stage-01|43.91779|11.96107|720.0|94.89837100978835
stage-01|43.91324|11.96|753.0|95.61838820037906
stage-01|43.90727|11.96218|757.0|96.47561326682262
stage-01|43.90108|11.96477|801.0|97.32985204237573
stage-01|43.89758|11.95826|786.0|98.06209615692438
stage-01|43.89435|11.95547|764.0|98.55901826390081
stage-01|43.89023|11.95549|779.0|99.08961166826393
stage-01|43.88514|11.95861|773.0|99.82962386002774
stage-01|43.88448|11.96048|737.0|100.32094389025944
stage-01|43.87962|11.96162|686.0|100.9330029953898
stage-01|43.87722|11.96422|646.0|101.35227672276793
stage-01|43.87466|11.96547|607.0|101.77228134847107
stage-01|43.87237|11.96872|570.0|102.28719695101213
stage-01|43.86943|11.97487|508.0|103.15963813519824
stage-01|43.87041|11.97916|467.0|104.32370327749496
stage-01|43.87247|11.98369|471.0|104.81341688893453
stage-01|43.87603|11.98994|459.0|105.4816134310642
stage-01|43.87983|11.99617|428.0|106.16051094442044
stage-01|43.8839|11.99718|407.0|106.68643386604901
stage-01|43.88335|12.0038|391.0|107.2825055853277
stage-01|43.88343|12.0105|376.0|107.87797728602942
